NutsID,DICOFRE,region_name,year,edu_none,edu_basic,edu_secondary,edu_superior,labour_family,labour_holder,labour_spouse,labour_other_family,labour_non_family,labour_regular,labour_non_regular,labour_not_hired,production_eur,production_area
181021102,21102,RelÃ­quias,1999,210,165,15,16,95,57,25,13,25,20,4,1,1763202.0,358.2
181021102,21102,RelÃ­quias,2009,86,115,16,7,60,46,9,5,17,16,1,1,1785727.0,399.5
181021102,21102,RelÃ­quias,2019,53,158,34,21,68,41,15,12,37,25,10,2,3305213.0,412.4
181021103,21103,SabÃ³ia,1999,194,143,2,2,98,53,35,10,6,4,1,1,1752556.0,296.3
181021103,21103,SabÃ³ia,2009,100,135,22,2,50,35,10,6,6,2,2,2,1785356.0,353.0
181021103,21103,SabÃ³ia,2019,35,118,18,18,58,40,12,6,35,8,26,2,2002980.0,477.2
181021106,21106,SÃ£o LuÃ­s,1999,233,192,33,6,76,50,19,7,31,26,4,2,2661047.0,320.6
181021106,21106,SÃ£o LuÃ­s,2009,83,158,23,8,74,51,14,9,24,22,1,1,1987607.0,334.8
181021106,21106,SÃ£o LuÃ­s,2019,36,115,32,34,65,46,11,9,29,23,4,2,4884892.0,686.2
181021107,21107,SÃ£o Martinho das Amoreiras,1999,211,165,16,10,126,77,32,17,16,9,6,1,1733237.0,455.7
181021107,21107,SÃ£o Martinho das Amoreiras,2009,101,119,17,10,66,53,7,6,7,5,1,0,1130351.0,303.2
181021107,21107,SÃ£o Martinho das Amoreiras,2019,43,96,14,17,63,50,8,5,110,105,3,2,3139948.0,913.3
181021111,21111,Vila Nova de Milfontes,1999,128,152,21,8,97,68,23,7,12,9,2,1,1322800.0,286.7
181021111,21111,Vila Nova de Milfontes,2009,90,148,22,10,69,46,18,5,25,24,0,0,1163011.0,490.5
181021111,21111,Vila Nova de Milfontes,2019,64,168,36,17,70,38,19,13,98,92,4,2,3905354.0,814.7
181021115,21115,Luzianes-Gare,1999,99,94,8,1,66,42,16,9,6,3,2,1,1291063.0,335.2
181021115,21115,Luzianes-Gare,2009,32,58,5,8,39,27,9,3,1,0,0,0,560145.0,214.9
181021115,21115,Luzianes-Gare,2019,29,79,7,13,39,29,8,3,3,1,1,1,1209433.0,341.2
181021116,21116,Boavista dos Pinheiros,2009,30,38,3,4,20,15,4,1,180,161,16,2,4323950.0,2225.8
181021116,21116,Boavista dos Pinheiros,2019,13,35,7,9,23,15,7,0,262,220,1,40,10320272.0,4134.9
181021117,21117,Longueira/Almograve,2009,66,130,27,18,82,54,17,11,291,285,2,4,20186387.0,3203.6
181021117,21117,Longueira/Almograve,2019,34,125,44,18,69,46,16,8,1922,1283,601,39,69303909.0,10545.1
181021118,21118,Colos,1999,82,122,18,15,43,28,8,7,35,24,10,1,2295508.0,355.8
181021118,21118,Colos,2009,28,99,24,16,39,34,4,2,23,15,8,0,3447910.0,433.8
181021118,21118,Colos,2019,27,123,23,28,53,30,11,12,64,53,8,3,6056687.0,653.3
181021119,21119,Santa Clara-a-Velha,1999,165,144,16,4,87,53,21,13,4,2,2,1,1278728.0,300.0
181021119,21119,Santa Clara-a-Velha,2009,97,93,9,4,62,37,14,10,3,2,1,0,742039.0,329.1
181021119,21119,Santa Clara-a-Velha,2019,37,106,30,37,60,39,16,6,8,4,3,2,3042728.0,874.5
181021120,21120,SÃ£o Salvador e Santa Maria,1999,349,382,48,21,218,135,58,25,335,172,146,17,13565063.0,1089.6
181021120,21120,SÃ£o Salvador e Santa Maria,2009,85,132,20,16,73,43,19,11,28,23,5,1,2405372.0,405.5
181021120,21120,SÃ£o Salvador e Santa Maria,2019,39,91,18,11,63,45,16,2,21,16,4,1,2533110.0,499.9
181021121,21121,SÃ£o TeotÃ³nio,1999,590,571,51,36,406,266,111,30,596,349,233,14,14537058.0,1090.5
181021121,21121,SÃ£o TeotÃ³nio,2009,279,381,77,54,242,146,65,31,882,686,171,26,37947967.0,3231.3
181021121,21121,SÃ£o TeotÃ³nio,2019,140,438,76,106,282,186,80,17,3592,2646,195,751,102354142.0,8156.1
181021122,21122,Vale de Santiago,1999,53,103,10,5,36,22,7,7,31,26,4,1,2286454.0,417.0
181021122,21122,Vale de Santiago,2009,22,58,12,9,29,22,4,3,22,20,2,0,2235315.0,437.1
181021122,21122,Vale de Santiago,2019,30,98,36,34,80,54,16,10,63,39,22,2,4339868.0,535.4
181150104,150104,TorrÃ£o,1999,180,340,57,50,219,134,55,30,312,181,125,6,14582860.0,408.2
181150104,150104,TorrÃ£o,2009,78,328,82,81,129,85,29,15,134,110,14,9,13737021.0,380.4
181150104,150104,TorrÃ£o,2019,45,185,60,48,102,66,24,12,256,171,42,43,21226769.0,590.8
181150105,150105,SÃ£o Martinho,1999,6,14,2,5,8,5,1,2,9,7,2,0,589927.0,505.1
181150105,150105,SÃ£o Martinho,2009,0,4,0,2,1,1,0,0,18,15,3,0,674228.0,343.3
181150105,150105,SÃ£o Martinho,2019,8,22,8,10,13,8,3,3,39,32,5,1,3025914.0,807.6
181150106,150106,Comporta,1999,230,321,17,2,203,121,62,20,26,19,2,5,1634109.0,1421.8
181150106,150106,Comporta,2009,58,125,13,3,94,57,30,8,18,14,0,3,1565634.0,1523.5
181150106,150106,Comporta,2019,9,51,4,9,36,26,9,1,287,50,230,7,34603355.0,4068.3
181150107,150107,UniÃ£o das freguesias de AlcÃ¡cer do Sal (Santa Maria do Castelo e Santiago) e Santa Susana,1999,307,717,113,121,444,252,115,77,449,328,110,11,25060269.0,478.3
181150107,150107,UniÃ£o das freguesias de AlcÃ¡cer do Sal (Santa Maria do Castelo e Santiago) e Santa Susana,2009,120,490,98,106,215,148,52,15,383,309,67,8,33543560.0,579.9
181150107,150107,UniÃ£o das freguesias de AlcÃ¡cer do Sal (Santa Maria do Castelo e Santiago) e Santa Susana,2019,69,303,106,149,160,109,28,23,973,374,526,73,83709251.0,1266.8
181150501,150501,Azinheira dos Barros e SÃ£o Mamede do SÃ¡dÃ£o,1999,59,92,25,28,71,44,16,12,42,32,9,1,5334032.0,468.7
181150501,150501,Azinheira dos Barros e SÃ£o Mamede do SÃ¡dÃ£o,2009,23,71,23,23,51,32,10,9,186,40,146,1,4962049.0,360.3
181150501,150501,Azinheira dos Barros e SÃ£o Mamede do SÃ¡dÃ£o,2019,13,55,30,31,48,32,12,5,71,56,13,3,14380187.0,939.4
181150503,150503,Melides,1999,278,340,61,33,269,154,86,30,23,14,8,1,2411996.0,585.8
181150503,150503,Melides,2009,145,284,40,30,213,134,58,21,36,16,15,5,3116382.0,864.9
181150503,150503,Melides,2019,50,202,60,34,118,81,22,14,50,24,9,16,7083321.0,1117.8
181150505,150505,Carvalhal,1999,90,143,12,0,87,52,27,8,32,27,4,1,874140.0,497.0
181150505,150505,Carvalhal,2009,20,60,5,0,35,22,9,4,12,11,0,0,616151.0,1682.2
181150505,150505,Carvalhal,2019,6,31,3,1,16,13,3,0,36,15,18,3,1605217.0,2048.6
181150506,150506,UniÃ£o das freguesias de GrÃ¢ndola e Santa Margarida da Serra,1999,569,723,79,70,517,320,142,56,191,126,60,5,17203562.0,620.7
181150506,150506,UniÃ£o das freguesias de GrÃ¢ndola e Santa Margarida da Serra,2009,257,600,110,84,308,195,79,34,230,138,21,71,20820839.0,1019.0
181150506,150506,UniÃ£o das freguesias de GrÃ¢ndola e Santa Margarida da Serra,2019,77,364,119,117,224,146,50,28,248,139,90,18,48237731.0,1995.4
181150901,150901,Abela,1999,121,174,20,20,70,47,15,8,81,54,25,2,8959637.0,854.1
181150901,150901,Abela,2009,52,134,15,20,71,48,19,5,65,56,6,3,6645540.0,801.7
181150901,150901,Abela,2019,17,85,12,22,60,39,13,8,41,37,2,2,6136420.0,643.9
181150902,150902,Alvalade,1999,91,265,37,28,90,63,18,10,214,138,67,8,16242481.0,1135.9
181150902,150902,Alvalade,2009,39,138,32,22,101,60,28,13,145,102,18,26,11611245.0,903.5
181150902,150902,Alvalade,2019,12,107,34,43,54,42,9,4,302,137,146,19,16137936.0,933.8
181150903,150903,Cercal,1999,281,358,45,18,187,126,42,19,67,47,16,4,5841324.0,663.9
181150903,150903,Cercal,2009,126,242,41,18,118,83,25,10,35,28,4,2,3994923.0,394.4
181150903,150903,Cercal,2019,78,245,68,46,111,72,20,19,79,54,20,5,8056245.0,822.0
181150904,150904,Ermidas-Sado,1999,55,104,10,7,59,40,14,5,34,20,13,1,2672185.0,426.3
181150904,150904,Ermidas-Sado,2009,31,73,17,11,42,27,9,6,218,26,191,1,2345454.0,383.7
181150904,150904,Ermidas-Sado,2019,5,35,13,13,25,20,3,2,58,33,21,4,4962663.0,800.8
181150907,150907,Santo AndrÃ©,1999,213,327,39,19,208,131,67,10,34,12,20,1,2242035.0,977.2
181150907,150907,Santo AndrÃ©,2009,63,143,40,25,74,50,19,5,98,42,55,1,2721239.0,1778.2
181150907,150907,Santo AndrÃ©,2019,27,165,52,31,99,56,26,16,186,90,91,6,7812180.0,5017.3
181150910,150910,SÃ£o Francisco da Serra,1999,137,168,15,4,70,44,15,11,22,14,6,2,1971309.0,823.6
181150910,150910,SÃ£o Francisco da Serra,2009,44,86,16,6,42,26,11,5,7,6,1,0,932806.0,1018.2
181150910,150910,SÃ£o Francisco da Serra,2019,19,87,26,14,50,31,13,6,10,7,2,1,791054.0,361.0
181150912,150912,"UniÃ£o das freguesias de Santiago do CacÃ©m, Santa Cruz e SÃ£o Bartolomeu da Serra",1999,498,679,70,55,347,213,96,38,138,80,55,3,8446411.0,764.9
181150912,150912,"UniÃ£o das freguesias de Santiago do CacÃ©m, Santa Cruz e SÃ£o Bartolomeu da Serra",2009,191,414,68,60,198,137,45,16,46,31,10,5,4769998.0,502.9
181150912,150912,"UniÃ£o das freguesias de Santiago do CacÃ©m, Santa Cruz e SÃ£o Bartolomeu da Serra",2019,38,303,79,92,173,111,34,28,134,94,33,8,13998646.0,1237.7
181150913,150913,UniÃ£o das freguesias de SÃ£o Domingos e Vale de Ãgua,1999,209,286,26,8,127,80,36,12,82,61,19,2,6971913.0,501.3
181150913,150913,UniÃ£o das freguesias de SÃ£o Domingos e Vale de Ãgua,2009,94,210,26,23,112,79,22,12,48,37,9,2,5533006.0,444.0
181150913,150913,UniÃ£o das freguesias de SÃ£o Domingos e Vale de Ãgua,2019,35,215,53,59,128,87,24,17,50,34,9,7,6022862.0,408.3
181151301,151301,Sines,1999,148,190,13,10,85,52,20,12,33,26,6,1,3352192.0,717.1
181151301,151301,Sines,2009,68,163,26,10,77,46,17,14,15,9,4,2,2862192.0,530.7
181151301,151301,Sines,2019,29,112,27,15,83,50,19,15,11,8,2,1,1801032.0,625.3
181151302,151302,Porto Covo,1999,90,136,22,9,44,28,12,4,17,14,2,1,1657646.0,437.5
181151302,151302,Porto Covo,2009,28,115,17,12,51,31,13,8,12,10,1,1,1484491.0,422.8
181151302,151302,Porto Covo,2019,18,89,22,14,59,34,18,7,22,11,2,9,2254205.0,715.9
184020102,20102,Ervidel,1999,34,102,7,5,29,23,3,2,14,10,2,1,588819.0,259.9
184020102,20102,Ervidel,2009,14,105,12,28,26,19,4,3,18,13,3,2,1642459.0,595.8
184020102,20102,Ervidel,2019,8,62,14,12,22,18,2,2,59,25,30,4,3170952.0,1162.6
184020103,20103,Messejana,1999,86,164,33,23,80,54,15,11,64,54,9,2,3744483.0,369.8
184020103,20103,Messejana,2009,42,111,26,24,57,42,9,7,43,34,7,3,12080644.0,1393.5
184020103,20103,Messejana,2019,29,91,29,37,52,40,7,4,75,41,31,3,7754040.0,926.1
184020104,20104,SÃ£o JoÃ£o de Negrilhos,1999,145,321,28,21,142,97,28,16,53,20,27,5,5033474.0,881.7
184020104,20104,SÃ£o JoÃ£o de Negrilhos,2009,34,149,17,23,59,43,10,6,170,70,50,51,5026823.0,658.3
184020104,20104,SÃ£o JoÃ£o de Negrilhos,2019,14,124,23,23,47,37,7,3,273,58,190,25,9087896.0,1708.1
184020106,20106,UniÃ£o das freguesias de Aljustrel e Rio de Moinhos,1999,75,243,38,50,102,81,10,11,136,120,9,7,7986820.0,379.6
184020106,20106,UniÃ£o das freguesias de Aljustrel e Rio de Moinhos,2009,32,218,77,49,107,70,20,17,122,95,23,4,15455201.0,778.0
184020106,20106,UniÃ£o das freguesias de Aljustrel e Rio de Moinhos,2019,33,206,53,58,88,69,8,11,201,147,35,20,13268367.0,666.2
184020203,20203,RosÃ¡rio,1999,57,61,3,5,43,30,9,4,15,11,4,0,1627252.0,333.7
184020203,20203,RosÃ¡rio,2009,8,52,7,5,29,21,7,1,18,17,1,0,1275534.0,297.5
184020203,20203,RosÃ¡rio,2019,13,57,21,9,35,25,5,4,15,14,0,1,1690995.0,302.2
184020205,20205,Santa Cruz,1999,85,132,6,9,61,39,12,10,13,10,3,0,1913053.0,324.4
184020205,20205,Santa Cruz,2009,50,132,20,13,62,43,13,7,14,12,1,1,1665633.0,240.7
