NutsID,DICOFRE,region_name,year,edu_none,edu_basic,edu_secondary,edu_superior,labour_family,labour_holder,labour_spouse,labour_other_family,labour_non_family,labour_regular,labour_non_regular,labour_not_hired,production_eur,production_area
150080102,80102,Guia,1999,157,365,55,28,167,97,45,25,33,13,18,1,1653285.0,1399.3
150080102,80102,Guia,2009,69,239,55,35,111,74,23,15,28,11,16,1,1389211.0,1540.2
150080102,80102,Guia,2019,41,307,71,66,139,79,34,27,179,147,27,6,3024551.0,2883.8
150080103,80103,Paderne,1999,316,537,80,54,265,165,72,28,171,128,42,2,11499148.0,4889.0
150080103,80103,Paderne,2009,124,356,32,32,117,74,29,13,160,131,16,14,3740737.0,2699.4
150080103,80103,Paderne,2019,70,399,104,105,259,142,58,59,241,203,32,6,40323637.0,24673.9
150080104,80104,Ferreiras,1999,159,307,40,26,115,76,26,14,9,2,7,1,816458.0,1193.0
150080104,80104,Ferreiras,2009,88,244,37,32,120,70,31,20,7,1,5,0,581564.0,1173.9
150080104,80104,Ferreiras,2019,18,134,37,26,56,36,16,4,5,3,1,2,914687.0,2214.5
150080106,80106,Albufeira e Olhos de Ãgua,1999,218,475,59,48,165,111,44,11,35,21,11,2,1740284.0,1603.8
150080106,80106,Albufeira e Olhos de Ãgua,2009,95,281,52,30,103,57,29,17,11,6,5,0,1109387.0,1818.1
150080106,80106,Albufeira e Olhos de Ãgua,2019,26,200,61,50,94,56,23,15,43,32,8,3,2302844.0,3513.6
150080202,80202,GiÃµes,1999,98,111,15,6,44,31,8,4,4,2,1,1,446389.0,218.1
150080202,80202,GiÃµes,2009,35,102,8,7,38,24,10,4,2,1,0,1,346514.0,195.0
150080202,80202,GiÃµes,2019,16,121,22,20,53,30,13,10,6,2,2,1,1778166.0,729.8
150080203,80203,Martim Longo,1999,279,297,30,10,114,75,26,13,7,3,2,2,1191286.0,386.0
150080203,80203,Martim Longo,2009,165,307,31,8,157,102,49,6,6,2,0,4,1157962.0,250.2
150080203,80203,Martim Longo,2019,112,388,101,45,171,101,49,21,11,6,1,5,3384703.0,829.6
150080205,80205,Vaqueiros,1999,361,273,36,8,161,98,43,20,3,0,1,2,1188458.0,615.7
150080205,80205,Vaqueiros,2009,144,244,32,7,112,73,28,11,3,0,0,3,917096.0,433.8
150080205,80205,Vaqueiros,2019,78,324,42,30,109,63,30,17,11,5,2,3,2967725.0,1094.4
150080206,80206,UniÃ£o das freguesias de Alcoutim e Pereiro,1999,324,494,61,32,159,105,37,17,25,17,6,2,1367396.0,363.9
150080206,80206,UniÃ£o das freguesias de Alcoutim e Pereiro,2009,131,407,61,37,158,94,44,21,20,11,3,6,1721427.0,438.1
