NutsID,DICOFRE,region_name,year,edu_none,edu_basic,edu_secondary,edu_superior,labour_family,labour_holder,labour_spouse,labour_other_family,labour_non_family,labour_regular,labour_non_regular,labour_not_hired,production_eur,production_area
16B100102,100102,AlfeizerÃ£o,1999,175,406,64,14,254,135,89,31,100,51,48,1,7632757.0,7268.7
16B100102,100102,AlfeizerÃ£o,2009,91,313,30,20,221,133,68,20,73,52,21,0,7996583.0,7155.1
16B100102,100102,AlfeizerÃ£o,2019,14,212,56,29,88,57,24,7,206,101,102,4,7034719.0,6310.1
16B100104,100104,BÃ¡rrio,1999,134,293,27,10,151,79,53,19,27,15,12,1,1515531.0,2950.0
16B100104,100104,BÃ¡rrio,2009,46,188,14,10,145,86,50,9,20,14,5,0,1951229.0,4694.6
16B100104,100104,BÃ¡rrio,2019,23,182,35,21,69,37,18,14,38,26,9,3,1881913.0,4501.4
16B100105,100105,Benedita,1999,205,647,97,26,271,134,96,42,35,29,4,2,9558211.0,20075.2
16B100105,100105,Benedita,2009,56,199,36,21,62,40,15,7,12,10,2,0,3078710.0,13213.9
16B100105,100105,Benedita,2019,25,203,46,31,104,60,26,19,34,29,3,1,6787491.0,13709.3
16B100106,100106,Cela,1999,323,821,71,14,498,245,181,72,115,48,66,1,6820600.0,4593.8
16B100106,100106,Cela,2009,192,621,86,30,415,203,136,76,63,37,22,4,7857792.0,6964.8
16B100106,100106,Cela,2019,65,426,66,42,250,136,83,31,176,101,27,49,7932391.0,6764.7
16B100108,100108,Ã‰vora de AlcobaÃ§a,1999,396,773,81,30,521,266,188,67,75,21,52,2,10700721.0,7100.5
16B100108,100108,Ã‰vora de AlcobaÃ§a,2009,158,550,74,28,267,166,82,19,88,59,27,2,14775130.0,12317.8
16B100108,100108,Ã‰vora de AlcobaÃ§a,2019,96,501,112,53,231,137,61,32,246,129,109,8,35683463.0,24782.1
16B100109,100109,Maiorga,1999,86,259,27,7,111,63,34,14,27,6,20,0,1081408.0,2614.1
16B100109,100109,Maiorga,2009,28,91,13,9,36,26,8,3,14,8,6,0,1345514.0,6363.0
16B100109,100109,Maiorga,2019,9,64,11,8,20,12,5,4,22,14,8,0,785319.0,5692.0
16B100112,100112,SÃ£o Martinho do Porto,1999,48,117,18,11,56,34,18,5,25,19,5,0,2001806.0,9626.4
16B100112,100112,SÃ£o Martinho do Porto,2009,20,37,10,2,34,17,12,5,23,22,1,0,1728545.0,20309.5
16B100112,100112,SÃ£o Martinho do Porto,2019,5,23,1,3,8,5,2,1,36,36,1,0,906621.0,8022.5
16B100114,100114,Turquel,1999,354,757,51,18,465,220,157,88,49,32,16,2,11384518.0,8536.9
16B100114,100114,Turquel,2009,144,397,47,19,155,91,52,12,37,25,10,2,8399984.0,8227.6
16B100114,100114,Turquel,2019,45,293,63,15,89,54,20,16,53,41,11,1,8108916.0,12487.2
16B100116,100116,Vimeiro,1999,196,509,40,17,188,89,56,42,74,30,43,1,3895643.0,4439.2
16B100116,100116,Vimeiro,2009,34,320,23,7,106,76,21,9,33,13,20,0,4491666.0,6914.1
16B100116,100116,Vimeiro,2019,19,182,35,17,69,40,20,9,78,37,26,15,4253869.0,9084.6
16B100120,100120,Aljubarrota,1999,406,716,67,38,399,219,123,56,43,19,22,2,3936311.0,3738.0
16B100120,100120,Aljubarrota,2009,163,376,66,23,128,81,32,15,16,11,5,1,2102276.0,3968.7
16B100120,100120,Aljubarrota,2019,76,388,85,46,104,58,28,18,27,23,3,1,4158528.0,8358.2
16B100121,100121,UniÃ£o das freguesias de AlcobaÃ§a e Vestiaria,1999,44,116,16,13,60,39,14,8,37,17,20,0,873688.0,2857.1
16B100121,100121,UniÃ£o das freguesias de AlcobaÃ§a e Vestiaria,2009,4,77,5,4,14,13,1,0,51,47,4,0,3436811.0,15112.8
